Feature,Coefficient,Absolute_Importance
categorical__charging_start_time_20-02-2025 19:54,1.2910432069635522,1.2910432069635522
categorical__charging_start_time_05-03-2025 00:41,1.2896484725811865,1.2896484725811865
categorical__arrival_time_05-03-2025 00:30,1.2896484725811865,1.2896484725811865
categorical__timestamp_05-03-2025 00:30,1.2896484725811865,1.2896484725811865
categorical__arrival_time_04-03-2025 13:45,1.2892673548941274,1.2892673548941274
categorical__timestamp_04-03-2025 13:45,1.2892673548941274,1.2892673548941274
categorical__charging_start_time_04-03-2025 13:58,1.2892673548941274,1.2892673548941274
categorical__timestamp_08-01-2025 03:00,-1.2881703121836483,1.2881703121836483
categorical__charging_start_time_08-01-2025 03:10,-1.2881703121836483,1.2881703121836483
categorical__arrival_time_08-01-2025 03:00,-1.2881703121836483,1.2881703121836483
categorical__arrival_time_08-01-2025 07:00,-1.2875690818880694,1.2875690818880694
categorical__charging_start_time_08-01-2025 07:08,-1.2875690818880694,1.2875690818880694
categorical__timestamp_08-01-2025 07:00,-1.2875690818880694,1.2875690818880694
categorical__charging_start_time_11-03-2025 21:28,1.2875529209039458,1.2875529209039458
categorical__timestamp_11-03-2025 21:15,1.2875529209039458,1.2875529209039458
categorical__arrival_time_11-03-2025 21:15,1.2875529209039458,1.2875529209039458
categorical__charging_start_time_13-01-2025 22:07,-1.2874517859165968,1.2874517859165968
categorical__arrival_time_13-01-2025 22:00,-1.2874517859165968,1.2874517859165968
categorical__timestamp_13-01-2025 22:00,-1.2874517859165968,1.2874517859165968
categorical__timestamp_08-03-2025 20:45,-1.2866521730173301,1.2866521730173301
categorical__arrival_time_08-03-2025 20:45,-1.2866521730173301,1.2866521730173301
categorical__charging_start_time_08-03-2025 20:46,-1.2866521730173301,1.2866521730173301
categorical__arrival_time_11-01-2025 06:30,1.2858573770213062,1.2858573770213062
categorical__charging_start_time_11-01-2025 06:40,1.2858573770213062,1.2858573770213062
categorical__timestamp_11-01-2025 06:30,1.2858573770213062,1.2858573770213062
categorical__timestamp_04-02-2025 13:45,1.2842037440180232,1.2842037440180232
categorical__arrival_time_04-02-2025 13:45,1.2842037440180232,1.2842037440180232
categorical__charging_start_time_04-02-2025 13:50,1.2842037440180232,1.2842037440180232
categorical__charging_start_time_12-03-2025 20:28,1.2841627648665277,1.2841627648665277
categorical__timestamp_12-03-2025 20:15,1.2841627648665277,1.2841627648665277
categorical__arrival_time_12-03-2025 20:15,1.2841627648665277,1.2841627648665277
categorical__arrival_time_11-01-2025 04:00,-1.2832230768353632,1.2832230768353632
categorical__timestamp_11-01-2025 04:00,-1.2832230768353632,1.2832230768353632
categorical__charging_start_time_11-01-2025 04:10,-1.2832230768353632,1.2832230768353632
categorical__arrival_time_02-03-2025 01:00,1.282739536662903,1.282739536662903
categorical__charging_start_time_02-03-2025 01:02,1.282739536662903,1.282739536662903
categorical__timestamp_02-03-2025 01:00,1.282739536662903,1.282739536662903
categorical__timestamp_08-01-2025 12:00,-1.2825431013948387,1.2825431013948387
categorical__arrival_time_08-01-2025 12:00,-1.2825431013948387,1.2825431013948387
categorical__charging_start_time_08-01-2025 12:12,-1.2825431013948387,1.2825431013948387
categorical__arrival_time_11-02-2025 03:00,1.2823896017138334,1.2823896017138334
categorical__timestamp_11-02-2025 03:00,1.2823896017138334,1.2823896017138334
categorical__charging_start_time_11-02-2025 03:11,1.2823896017138334,1.2823896017138334
categorical__charging_start_time_17-03-2025 21:37,-1.2817972730586549,1.2817972730586549
categorical__arrival_time_17-03-2025 21:30,-1.2817972730586549,1.2817972730586549
categorical__timestamp_17-03-2025 21:30,-1.2817972730586549,1.2817972730586549
categorical__timestamp_01-03-2025 14:30,1.2815277771107887,1.2815277771107887
categorical__arrival_time_01-03-2025 14:30,1.2815277771107887,1.2815277771107887
categorical__charging_start_time_01-03-2025 14:42,1.2815277771107887,1.2815277771107887
categorical__charging_start_time_14-03-2025 01:51,1.281185322625443,1.281185322625443
categorical__timestamp_14-03-2025 01:45,1.281185322625443,1.281185322625443
categorical__arrival_time_14-03-2025 01:45,1.281185322625443,1.281185322625443
categorical__arrival_time_12-03-2025 13:45,1.2811100118598242,1.2811100118598242
categorical__timestamp_12-03-2025 13:45,1.2811100118598242,1.2811100118598242
categorical__charging_start_time_12-03-2025 13:48,1.2811100118598242,1.2811100118598242
categorical__arrival_time_14-01-2025 15:00,1.2804662921434273,1.2804662921434273
categorical__charging_start_time_14-01-2025 15:07,1.2804662921434273,1.2804662921434273
categorical__timestamp_14-01-2025 15:00,1.2804662921434273,1.2804662921434273
categorical__timestamp_06-02-2025 19:15,-1.2802092645794136,1.2802092645794136
categorical__charging_start_time_06-02-2025 19:17,-1.2802092645794136,1.2802092645794136
categorical__arrival_time_06-02-2025 19:15,-1.2802092645794136,1.2802092645794136
categorical__arrival_time_22-02-2025 11:30,1.2792945267126161,1.2792945267126161
categorical__timestamp_22-02-2025 11:30,1.2792945267126161,1.2792945267126161
categorical__charging_start_time_22-02-2025 11:43,1.2792945267126161,1.2792945267126161
categorical__timestamp_22-01-2025 06:45,1.2787607476466927,1.2787607476466927
categorical__arrival_time_22-01-2025 06:45,1.2787607476466927,1.2787607476466927
categorical__charging_start_time_22-01-2025 06:45,1.2787607476466927,1.2787607476466927
categorical__timestamp_09-01-2025 11:00,1.2780884827485113,1.2780884827485113
categorical__charging_start_time_09-01-2025 11:09,1.2780884827485113,1.2780884827485113
categorical__arrival_time_09-01-2025 11:00,1.2780884827485113,1.2780884827485113
categorical__charging_start_time_02-03-2025 17:42,-1.2752225937306996,1.2752225937306996
categorical__timestamp_02-03-2025 17:30,-1.2752225937306996,1.2752225937306996
categorical__arrival_time_02-03-2025 17:30,-1.2752225937306996,1.2752225937306996
categorical__timestamp_04-02-2025 11:00,-1.2747464867054572,1.2747464867054572
categorical__arrival_time_04-02-2025 11:00,-1.2747464867054572,1.2747464867054572
categorical__charging_start_time_04-02-2025 11:00,-1.2747464867054572,1.2747464867054572
categorical__timestamp_26-01-2025 16:15,-1.2741491709087338,1.2741491709087338
categorical__arrival_time_26-01-2025 16:15,-1.2741491709087338,1.2741491709087338
categorical__charging_start_time_26-01-2025 16:25,-1.2741491709087338,1.2741491709087338
categorical__charging_start_time_30-01-2025 02:40,-1.2735127126531016,1.2735127126531016
categorical__arrival_time_30-01-2025 02:30,-1.2735127126531016,1.2735127126531016
categorical__timestamp_30-01-2025 02:30,-1.2735127126531016,1.2735127126531016
categorical__timestamp_06-02-2025 23:15,1.2730654097080378,1.2730654097080378
categorical__charging_start_time_06-02-2025 23:28,1.2730654097080378,1.2730654097080378
categorical__arrival_time_06-02-2025 23:15,1.2730654097080378,1.2730654097080378
categorical__charging_start_time_13-03-2025 15:51,1.2726055221663026,1.2726055221663026
categorical__arrival_time_13-03-2025 15:45,1.2726055221663026,1.2726055221663026
categorical__timestamp_13-03-2025 15:45,1.2726055221663026,1.2726055221663026
categorical__arrival_time_11-03-2025 20:00,-1.2702996337579815,1.2702996337579815
categorical__charging_start_time_11-03-2025 20:07,-1.2702996337579815,1.2702996337579815
categorical__timestamp_11-03-2025 20:00,-1.2702996337579815,1.2702996337579815
categorical__charging_start_time_26-01-2025 10:56,1.2701255397612288,1.2701255397612288
categorical__arrival_time_26-01-2025 10:45,1.2701255397612288,1.2701255397612288
categorical__timestamp_26-01-2025 10:45,1.2701255397612288,1.2701255397612288
categorical__arrival_time_13-03-2025 08:30,-1.2701224670072622,1.2701224670072622
categorical__timestamp_13-03-2025 08:30,-1.2701224670072622,1.2701224670072622
categorical__charging_start_time_13-03-2025 08:37,-1.2701224670072622,1.2701224670072622
categorical__arrival_time_09-02-2025 00:00,1.270109747488065,1.270109747488065
categorical__charging_start_time_09-02-2025 00:10,1.270109747488065,1.270109747488065
categorical__timestamp_09-02-2025 00:00,1.270109747488065,1.270109747488065
categorical__arrival_time_15-02-2025 04:00,1.2694658905894822,1.2694658905894822
categorical__timestamp_15-02-2025 04:00,1.2694658905894822,1.2694658905894822
categorical__charging_start_time_15-02-2025 04:10,1.2694658905894822,1.2694658905894822
categorical__timestamp_04-01-2025 16:30,1.2686563426809305,1.2686563426809305
categorical__charging_start_time_04-01-2025 16:35,1.2686563426809305,1.2686563426809305
categorical__arrival_time_04-01-2025 16:30,1.2686563426809305,1.2686563426809305
categorical__timestamp_13-03-2025 03:45,1.268361515929405,1.268361515929405
categorical__charging_start_time_13-03-2025 03:53,1.268361515929405,1.268361515929405
categorical__arrival_time_13-03-2025 03:45,1.268361515929405,1.268361515929405
categorical__arrival_time_15-03-2025 17:15,1.2681306048746277,1.2681306048746277
categorical__charging_start_time_15-03-2025 17:28,1.2681306048746277,1.2681306048746277
categorical__timestamp_15-03-2025 17:15,1.2681306048746277,1.2681306048746277
categorical__charging_start_time_03-01-2025 14:27,-1.2677382120073566,1.2677382120073566
categorical__arrival_time_03-01-2025 14:15,-1.2677382120073566,1.2677382120073566
categorical__timestamp_03-01-2025 14:15,-1.2677382120073566,1.2677382120073566
categorical__timestamp_07-03-2025 04:30,-1.2675591839385787,1.2675591839385787
categorical__charging_start_time_07-03-2025 04:39,-1.2675591839385787,1.2675591839385787
categorical__arrival_time_07-03-2025 04:30,-1.2675591839385787,1.2675591839385787
categorical__timestamp_02-02-2025 22:30,-1.2669941672237583,1.2669941672237583
categorical__arrival_time_02-02-2025 22:30,-1.2669941672237583,1.2669941672237583
categorical__charging_start_time_02-02-2025 22:39,-1.2669941672237583,1.2669941672237583
categorical__timestamp_11-02-2025 13:15,-1.2662037029549804,1.2662037029549804
categorical__arrival_time_11-02-2025 13:15,-1.2662037029549804,1.2662037029549804
categorical__charging_start_time_11-02-2025 13:23,-1.2662037029549804,1.2662037029549804
categorical__charging_start_time_03-02-2025 16:35,1.2650316358751006,1.2650316358751006
categorical__timestamp_03-02-2025 16:30,1.2650316358751006,1.2650316358751006
categorical__arrival_time_03-02-2025 16:30,1.2650316358751006,1.2650316358751006
